"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
199, 1.000000000000000e+00, 0.000000000000000e+00, 1.274548390328589e+05, 5.756282610953715e-01, 4.488204757877806e-01
0, 9.997500181200000e-01, -3.632896519016437e-05, 1.287202102067594e+05, 6.035038024470282e-01, 5.191509188957423e-01
1, 9.990000128750000e-01, -1.452537504052920e-04, 1.253246240745996e+05, 5.287006114209838e-01, 5.496349450951974e-01
2, 9.977599978450000e-01, -3.251111630156300e-04, 1.230653100089058e+05, 4.789289681564323e-01, 5.747794527977914e-01
3, 9.960200190539999e-01, -5.769983605901485e-04, 1.212144293467195e+05, 4.381549237495919e-01, 5.951735868692096e-01
4, 9.937800168990000e-01, -9.004365425509819e-04, 1.196551318802301e+05, 4.038043222002688e-01, 6.118230072532833e-01
5, 9.910500049590000e-01, -1.293363843462116e-03, 1.183060804977079e+05, 3.740853445795859e-01, 6.261961223913434e-01
6, 9.878399968150000e-01, -1.753609743384430e-03, 1.170855116673614e+05, 3.471967781220557e-01, 6.388301774367949e-01
7, 9.841300249100000e-01, -2.283176811071472e-03, 1.159712037231544e+05, 3.226490898090122e-01, 6.503703051412475e-01
8, 9.799500107769999e-01, -2.876826092032643e-03, 1.149364342147570e+05, 2.998535964267439e-01, 6.609818552491711e-01
9, 9.752799868580000e-01, -3.536324145770189e-03, 1.139663974828662e+05, 2.784841361528098e-01, 6.708939778321782e-01
10, 9.701499938960000e-01, -4.256268552403566e-03, 1.130491174299154e+05, 2.582768811003179e-01, 6.802240016469581e-01
11, 9.645400047300000e-01, -5.038225493362627e-03, 1.121755229240744e+05, 2.390319984331354e-01, 6.890767154091869e-01
12, 9.584699869160000e-01, -5.878077433056352e-03, 1.113392929540365e+05, 2.206102391975187e-01, 6.975298913477902e-01
13, 9.519400000570000e-01, -6.774428848839826e-03, 1.105352935107369e+05, 2.028985035497703e-01, 7.056304464430956e-01
14, 9.449599981310000e-01, -7.724467125531491e-03, 1.097597119853034e+05, 1.858128014808996e-01, 7.134306868592081e-01
15, 9.375399947170000e-01, -8.725349486403867e-03, 1.090096959955964e+05, 1.692902963324439e-01, 7.209593060377957e-01
16, 9.296900033950000e-01, -9.774221272349531e-03, 1.082819551042947e+05, 1.532585012930164e-01, 7.282535362356992e-01
17, 9.214000105860000e-01, -1.087086069705918e-02, 1.075737998537267e+05, 1.376581688547868e-01, 7.353424213202355e-01
18, 9.126999974250000e-01, -1.200973104171110e-02, 1.068838405582176e+05, 1.224586848854827e-01, 7.422432715541721e-01
19, 9.035800099370001e-01, -1.319055953446835e-02, 1.062098416888488e+05, 1.076108017176169e-01, 7.489703538703884e-01
20, 8.940600156780000e-01, -1.440916392228702e-02, 1.055508122987403e+05, 9.309268925003343e-02, 7.555506574210648e-01
21, 8.841500282290000e-01, -1.566269158090452e-02, 1.049058394643926e+05, 7.888423620053583e-02, 7.619885603868187e-01
22, 8.738499879840000e-01, -1.694956337677533e-02, 1.042722872929815e+05, 6.492737507008804e-02, 7.682972750708726e-01
23, 8.631799817090000e-01, -1.826569132102762e-02, 1.036500183743448e+05, 5.121907877640867e-02, 7.745058370028178e-01
24, 8.521599769590000e-01, -1.960709133914372e-02, 1.030366587649570e+05, 3.770705044228667e-02, 7.806163844579210e-01
25, 8.407700061800000e-01, -2.097463226217677e-02, 1.024312684171698e+05, 2.437058125307889e-02, 7.866506821902057e-01
26, 8.290500044819999e-01, -2.236196298315981e-02, 1.018323608943868e+05, 1.117692569848521e-02, 7.926142091641445e-01
27, 8.170099854470000e-01, -2.376642068849115e-02, 1.012394272713119e+05, -1.885127610237068e-03, 7.985235308692418e-01
28, 8.046399950980000e-01, -2.518763605296113e-02, 1.006516756491856e+05, -1.483302383627569e-02, 8.043784755331828e-01
29, 7.919700145720000e-01, -2.662062628442961e-02, 1.000689220547135e+05, -2.767081582616293e-02, 8.101820564063844e-01
30, 7.790099978450000e-01, -2.806276676215449e-02, 9.949032445930422e+04, -4.041705308007696e-02, 8.159551657192509e-01
31, 7.657799720760000e-01, -2.951033727360171e-02, 9.891421347865454e+04, -5.310851136163388e-02, 8.217084937849098e-01
32, 7.522799968720000e-01, -3.096181144522562e-02, 9.833661998769984e+04, -6.583262865910956e-02, 8.274671345865670e-01
33, 7.385200262070000e-01, -3.241453277608040e-02, 9.775687691248380e+04, -7.860410030304270e-02, 8.332553027087389e-01
34, 7.245299816130000e-01, -3.386376679305321e-02, 9.717526166766285e+04, -9.141681497693829e-02, 8.390714817067086e-01
35, 7.103199958800001e-01, -3.530689307158652e-02, 9.659135104414965e+04, -1.042800957811311e-01, 8.449068978194311e-01
36, 6.958900094030001e-01, -3.674225211597043e-02, 9.600521049328602e+04, -1.171925008528509e-01, 8.507895544884930e-01
37, 6.812700033190000e-01, -3.816515293304169e-02, 9.541407815401137e+04, -1.302148727130836e-01, 8.567087495422666e-01
38, 6.664699912070000e-01, -3.957289370556494e-02, 9.481779442664217e+04, -1.433507272689945e-01, 8.626948394391911e-01
39, 6.514999866490000e-01, -4.096270419333766e-02, 9.421403064749768e+04, -1.566513639037731e-01, 8.687633496235785e-01
40, 6.363800168040000e-01, -4.233084266562091e-02, 9.360249292855925e+04, -1.701232568344601e-01, 8.749160106864607e-01
